CPF;RG;"First Name,""Last Name""";Data;Cidade
81339591014;171737507;"Alfred,""Baker""";08/07/1981;Alta Floresta D'Oeste
43752936088;332019846;"Mike,""Douglas""";06/11/1988;Alto Alegre dos Parecis
24474077008;387487566;"Daniel,""Davis""";07/03/1985;Alto Paraíso
54479881018;379617948;"Alford,""Howard""";28/01/2000;Alvorada D'Oeste
69608007062;296599979;"Sawyer,""Cameron""";15/02/1998;Ariquemes
8091912021;258444733;"Tara,""Williams""";08/09/1986;Buritis
61029585008;404274122;"Charlotte,""Higgins""";29/08/1996;Cabixi
2734321092;270333757;"Carl,""Cameron""";16/02/2001;Cacaulândia
92522324004;489759609;"Dominik,""Andrews""";13/07/1989;Cacoal
58022359009;112906357;"Arnold,""Wells""";29/08/1995;Campo Novo de Rondônia
79926133096;313607813;"Mary,""Cole""";04/03/1981;Candeias do Jamari
67647886002;207472415;"Leonardo,""Elliott""";30/10/1984;Castanheiras
37192709042;120012029;"Ryan,""Kelley""";16/11/2000;Cerejeiras
48901718006;286323941;"Lucia,""Sullivan""";26/06/1992;Chupinguaia
48636306035;482443558;"Brad,""Taylor""";27/05/1989;Colorado do Oeste
56502287018;250211166;"Frederick,""Hill""";29/04/1998;Corumbiara
42922186091;253360316;"Amber,""Adams""";04/05/1985;Costa Marques
34497595072;115995869;"Alberta,""Barnes""";24/07/2001;Cujubim
97005777085;446853148;"Andrew,""Robinson""";25/12/1982;Espigão D'Oeste
98984042056;182971806;"Valeria,""Farrell""";06/04/1986;Governador Jorge Teixeira
35476657010;103813871;"Carl,""Montgomery""";07/01/1989;Guajará-Mirim
40464653010;162129683;"Michael,""Robinson""";15/11/1985;Itapuã do Oeste
15036696026;132373166;"Adam,""Taylor""";16/04/1983;Jaru
49973283082;383516353;"Ryan,""Parker""";17/12/1988;Ji-Paraná
17070985061;253458353;"Oliver,""Mason""";15/11/1993;Machadinho D'Oeste
48051689003;207448486;"Chester,""Bennett""";08/11/1988;Ministro Andreazza
57943252080;461881354;"Lucy,""Roberts""";06/03/1986;Mirante da Serra
17937034009;298805625;"Miley,""Moore""";19/09/1984;Monte Negro
1616532009;326421294;"Sydney,""Richardson""";21/12/1993;Nova Brasilândia D'Oeste
817055061;109495688;"Edwin,""Sullivan""";03/12/1991;Nova Mamoré
24680325003;135808303;"Edward,""Brown""";12/07/1989;Nova União
71752775040;297203654;"Justin,""Roberts""";22/03/1992;Novo Horizonte do Oeste
76460703000;493689771;"Victoria,""Lloyd""";03/05/1994;Ouro Preto do Oeste
30120227088;277328196;"Melanie,""Rogers""";21/09/1988;Parecis
39749871006;267874327;"Sawyer,""Murray""";14/03/1999;Pimenta Bueno
24845649020;224415529;"Rebecca,""Parker""";18/04/1999;Pimenteiras do Oeste
57802603030;452837297;"Oliver,""Evans""";09/11/1986;Porto Velho
33938214074;170351518;"Albert,""Miller""";12/08/1992;Presidente Médici
48293808020;260304724;"Isabella,""Cameron""";14/02/1988;Primavera de Rondônia
42275771018;440777045;"Harold,""Cunningham""";18/01/1985;Rio Crespo
78630046082;197997946;"Nicole,""Baker""";15/02/1989;Rolim de Moura
23385729041;449800957;"Carina,""Armstrong""";22/07/1982;Santa Luzia D'Oeste
88498866081;300990819;"Oscar,""Edwards""";08/02/1995;São Felipe D'Oeste
660083019;442404645;"Kimberly,""Fowler""";15/03/1990;São Francisco do Guaporé
58047674021;179135247;"Aida,""Rogers""";29/05/2000;São Miguel do Guaporé
80906935040;420862948;"Bruce,""Brown""";27/09/1987;Seringueiras
19566531044;333356019;"Sabrina,""Evans""";09/08/1991;Teixeirópolis
85441135085;386648591;"Frederick,""Barnes""";29/04/1998;Theobroma
44470990043;249858745;"Samantha,""Mitchell""";01/06/1993;Urupá
98237216024;197592831;"Clark,""Higgins""";17/12/1988;Vale do Anari
